reihenfolge,datum,kino_name,alphabet_kino,alphabet_stadt,kino_name_escaped,kino_strasse_nr,kino_plz,kino_stadt,lon,lat,kino_tel,kino_url,kino_info,kino_map,video_id
0,08/10/2014,Kinemathek,33,37,kinemathek-karlsruhe,Kaiserpassage 6,76133,Karlsruhe,8.394711,49.010601,0721 9374714,http://kinemathek-karlsruhe.de,"Film als Kunst und das Kino als Museum - mit Inka Gürtler und Alfred Meyer","https://www.google.com/maps/place/Kinemathek+Karlsruhe+e.V./@49.010601,8.3947113,17z/data=!3m1!4b1!4m5!3m4!1s0x4797065078fb2b23:0x73d1b5217b4a7cc5!8m2!3d49.010601!4d8.3969?hl=en-GB",238069872
1,10/10/2014,Subiaco Kino,74,1,subiaco-alpirsbach,Klosterplatz 2,72275,Alpirsbach,8.401595,48.346304,7444916741,http://www.subiaco.de,"Der vermutlich älteste Kinosaal der Welt und der kleinste Saal Baden-Württembergs.","https://www.google.com/maps/place/Subiaco+cinema+e.V./@48.3463041,8.4015949,17z/data=!3m1!4b1!4m5!3m4!1s0x4790ca3a17fa9ac7:0x92b982458e576da5!8m2!3d48.3463041!4d8.4037836?hl=en-GB",238183170
2,12/10/2014,Blaue Königin,5,14,blaue-koenigin-buehl,Karl-reinfriedstr. 5,77815,Bühl,8.131501,48.69391,078 41 2 52 52,http://www.kino-achern.de,"Von der Digitalisierung und vom Aussterben der Einsaalkinos. Das (mittlerweile geschlossene) Kino 'Blaue Königin'","https://www.google.com/maps/place/Blaue+K%C3%B6nigin/@48.69391,8.1315013,17z/data=!3m1!4b1!4m5!3m4!1s0x4796df6759065617:0xb6ef54bed47b1d4d!8m2!3d48.69391!4d8.13369?hl=en-GB",238183668
3,13/10/2014,Filmhaus,22,61,filmhaus-nuernberg,Frommannstraße 12,90419,Nürnberg,11.069417,49.458625,0911 231734,https://www.kunstkulturquartier.de/filmhaus/programm/,"Kirche und Kino - eine kurze visuelle Reflektion","https://www.google.com/maps/place/Filmhaus+N%C3%BCrnberg+e.V./@49.4586252,11.0694172,17z/data=!3m1!4b1!4m5!3m4!1s0x479f57b23cb28161:0xebb4c39d643a6d28!8m2!3d49.4586252!4d11.0716059?hl=en-GB",232243916
4,14/10/2014,Kommunales Kino,49,64,kommunales-kino-oberkirch,Apothekergasse 7,77704,Oberkirch,8.076811,48.52991,07802 700220,http://www.koki-oberkirch.de/programm,"Kommunales Kino als Verein seit 40 Jahren und vom Altwerden mit dem Publikum. Mit Rainer Braxmaier","https://www.google.com/maps/place/Apothekergasse+7,+77704+Oberkirch,+Germany/@48.52991,8.0768113,17z/data=!3m1!4b1!4m5!3m4!1s0x4796d610e9d3b6a7:0xf59d5bbfd4222e3e!8m2!3d48.52991!4d8.079?hl=en-GB",235911726
5,15/10/2014,Kommunales Kino,50,71,kommunales-kino-pforzheim,Schloßberg 20,75175,Pforzheim,8.702134,48.89292,07231 5661970,http://kommunales-kino-pforzheim.de/,"Begegnungen im Kino - u.a. mit Dieter Kosslick","https://www.google.com/maps/place/Kommunales+Kino+Pforzheim/@48.8929196,8.7021337,17z/data=!3m1!4b1!4m5!3m4!1s0x4797721faf639e13:0x318274d14faf396c!8m2!3d48.8929196!4d8.7043224?hl=en-GB",232248255
6,16/10/2014,Studiokino,73,50,studiokino-magdeburg,Moritzplatz 1a,39124,Magdeburg,11.630697,52.15571,0391288 999 63,http://www.studiokino.com,"Frank Salender über die Entwicklung der Kinolandschaft in Sachsen-Anhalt. Reflektionen über das Kino als Ort.","https://www.google.com/maps/place/Studiokino/@52.1557101,11.6306969,17z/data=!3m1!4b1!4m5!3m4!1s0x47af5f3de5bab075:0xed119b157a68f2f2!8m2!3d52.1557101!4d11.6328856?hl=en-GB",235924271
7,16/10/2014,Werkstattkino,83,57,werkstattkino-muenchen,Fraunhoferstraße 9,80469,München,11.570394,48.130744,089 2607250,http://werkstattkino.de,"Struktur und Charme - mit Bernd Brehmer im Vorführraum","https://www.google.com/maps/place/Werkstattkino/@48.1307438,11.570394,17z/data=!3m1!4b1!4m5!3m4!1s0x479ddf60a6faaaa3:0xbc7c384b8cc538e2!8m2!3d48.1307438!4d11.5725827?hl=en-GB",238182624
8,17/10/2014,Filmbühne Caligari,17,84,caligari-wiesbaden,Marktplatz 9,65183,Wiesbaden,8.241669,50.082139,0611 315050,http://www.wiesbaden.de/microsite/caligari/index.php,"'Ein Juwel unter den deutschen Lichtspielhäusern' Volker Schlöndorff.","https://www.google.com/maps/place/Caligari+Film-B%C3%BChne/@50.0821386,8.2416689,17z/data=!3m1!4b1!4m5!3m4!1s0x47bdbdd9600484e3:0xf4699d6a2f3a375d!8m2!3d50.0821386!4d8.2438576?hl=en-GB",196287875
9,20/10/2014,Kino Breitwand im Schloß,38,76,breitwand-seefeld,Schloßhof 7,82229,Seefeld,11.201901,48.030773,08152 981898,http://www.breitwand.com/home/cm/start-3/index.html,"Mischkalkulation und Nachwuchsförderung - mit Matthias Helwig","https://www.google.com/maps/place/Kino+Breitwand+im+Schlo%C3%9F+Seefeld/@48.0307729,11.2019006,17z/data=!3m1!4b1!4m5!3m4!1s0x479dd2b7fba32db3:0x26480ddbcc81c950!8m2!3d48.0307729!4d11.2040893?hl=en-GB",232236718
10,21/10/2014,Scharfrichter Kino,69,69,scharfrichter-passau,Milchgasse 2,94032,Passau,13.467169,48.574766,0851 9883550,http://www.cineplex.de/infos/unsere-kinos/1223/passau/,"Kombination von Mainstream und Programmkino in zwei Häusern. Und was man in einem Kino noch so alles machen kann…","https://www.google.com/maps/place/Passau+Scharfrichter-Kino/@48.5747656,13.4671685,17z/data=!3m1!4b1!4m5!3m4!1s0x4774f60017abd177:0x67e3aae9b5e1027e!8m2!3d48.5747656!4d13.4693572?hl=en-GB",238183998
11,21/10/2014,Filmgalerie im Leeren Beutel,21,72,filmgalerie-im-leeren-beutel-regensburg,Bertoldstraße 9,93047,Regensburg,12.100947,49.018311,0941 298 45 63,http://www.filmgalerie.de,"Programmkino im Verein. Und was man vom Ausprobieren von Zigarettenmarken fürs Kino-Programm lernen kann.","https://www.google.com/maps/place/Filmgalerie+Kino+im+Leeren+Beutel/@49.0183113,12.1009469,17z/data=!3m1!4b1!4m5!3m4!1s0x479fc1a166613509:0xbd86769274b11b0f!8m2!3d49.0183113!4d12.1031356?hl=en-GB",196298968
12,23/10/2014,Thalia,76,2,thalia-augsburg,Obstmarkt 5,86152,Augsburg,10.894701,48.370787,082115 3078,http://www.lechflimmern.de/kino02/start.php,"Das älteste Kino Europas. Gespräch mit Ellen Gratza in der Kinokneipe.","https://www.google.com/maps/place/Thalia/@48.3707872,10.8947012,17z/data=!3m1!4b1!4m5!3m4!1s0x479ebd50fb83efb3:0x722db08f29dc0a1e!8m2!3d48.3707872!4d10.8968899?hl=en-GB",235937473
13,24/10/2014,Filmpalette,25,46,filmpalette-koeln,Lübecker Straße 15,50668,Köln,6.953026,50.94962,0221 12 21 12,http://www.filmpalette-koeln.de,"Vom Pornokino zum Programmkino - Gespräch mit Joachim Kühn","https://www.google.com/maps/place/Filmpalette/@50.9496195,6.9530261,17z/data=!3m1!4b1!4m5!3m4!1s0x47bf25a23840e2b7:0xf8a23193a5798cb!8m2!3d50.9496195!4d6.9552148?hl=en-GB",235914402
14,25/10/2014,Bonner Kinemathek in der Brotfabrik,6,11,kinemathek-brotfabrik-bonn,Kreuzstraße 16,53225,Bonn-Beuel,7.121121,50.74089,0228 47 84 89,http://www.bonnerkinemathek.de,"Godard und Morricone zu Besuch - Ulli Klinkertz erinnert sich.","https://www.google.com/maps/place/Bonner+Kinemathek/@50.74089,7.1211213,17z/data=!3m1!4b1!4m5!3m4!1s0x47bee110c52c1c4f:0x8a81c28864f6fa60!8m2!3d50.74089!4d7.12331?hl=en-GB",235909404
15,26/10/2014,Bambi,4,17,bambi-duesseldorf,Klosterstr. 78,40211,Düsseldorf,6.786957,51.224686,0211 35 36 35,http://www.filmkunstkinos.de/index.php,"Vorführer und ihre Hobbys: Mit Stephan Machac im Bambi.","https://www.google.com/maps/place/Bambi+Filmstudio/@51.224686,6.7869571,17z/data=!3m1!4b1!4m5!3m4!1s0x47b8ca255b16f953:0x8a236755536ff506!8m2!3d51.224686!4d6.7891458?hl=en-GB",238184161
16,27/10/2014,Filmstudio Glückauf,26,18,filmstudio-glueckauf-essen,Rüttenscheider Straße 2,45128,Essen,7.004722,51.443403,0201 43 93 66 33,http://www.essener-filmkunsttheater.de,"Von der Ungleichverteilung der Geschlechter im Kinobetrieb. Ingrid Lüdeke, Filmtheater-Leiterin","https://www.google.com/maps/place/Filmstudio/@51.4434033,7.0047219,17z/data=!3m1!4b1!4m5!3m4!1s0x47b8c2cfd0ea30d1:0x653bfdd2bfb37d6d!8m2!3d51.4434033!4d7.0069106?hl=en-GB",238184508
17,28/10/2014,Cineplex,12,68,cineplex-paderborn,Westernstr. 34,33098,Paderborn,8.746064,51.716397,05251 2906000,http://www.cineplex.de/paderborn/,"Mit Carmen Behrens im Cineplex. Feine Perlen im großen Kino.","https://www.google.com/maps/place/Pollux+by+Cineplex/@51.716397,8.7460643,17z/data=!3m1!4b1!4m5!3m4!1s0x47ba4ca2b0c03e6f:0xd351abae8a9d68ff!8m2!3d51.716397!4d8.748253?hl=en-GB",238361697
18,29/10/2014,Kino Arsenal,37,8,arsenal-berlin,Potsdamer Straße 2,10785,Berlin,13.371387,52.509651,030 26955100,http://www.arsenal-berlin.de/home.html,"Eine besondere Filminstitution - das arsenal. Und Harald Ringel - ein besonderer Autogrammsammler.","https://www.google.com/maps/place/Arsenal+%E2%80%93+Institut+f%C3%BCr+Film+und+Videokunst+e.V/@52.5096511,13.3713866,17z/data=!3m1!4b1!4m5!3m4!1s0x47a851c99b1ac3bb:0x94ce196a05747417!8m2!3d52.5096511!4d13.3735753?hl=en-GB",196457794
19,03/11/2014,Filmladen,24,42,filmladen-kassel,Goethestrasse 31,34119,Kassel,9.470841,51.31415,0561 707 640,http://www.filmladen.de,"Der Filmladen. Und mein Gastgeber: Hector Gutierrez über die sozialen Folgen der Digitalisierung.","https://www.google.com/maps/place/Filmladen+Kassel+e.+V/@51.31415,9.4708413,17z/data=!3m1!4b1!4m5!3m4!1s0x47bb3f4390499f0f:0x7f56c4011fd3ee64!8m2!3d51.31415!4d9.47303?hl=en-GB",235916968
20,04/11/2014,Trauma im G-Werk,78,51,trauma-marburg,Afföllerwiesen 3A,35039,Marburg,8.767768,50.820565,06421 889772,http://www.cafetrauma.de/,"Basisdemokratie im Kollektiv. Und Ponys im Trauma.","https://www.google.com/maps/place/Trauma+im+G-Werk+e.V./@50.8205647,8.7677679,17z/data=!3m1!4b1!4m5!3m4!1s0x47bc629ac1a29f49:0xa612dc33c1477569!8m2!3d50.8205647!4d8.7699566?hl=en-GB",232248557
21,05/11/2014,Mal Sehn’ Kino,64,20,mal-sehn-frankfurt,"Adlerflychtstr. 6, Hinterhaus",60318,Frankfurt,8.683396,50.123887,069 5970845,http://www.malsehnkino.de,"Eine der schönsten Kinokneipen Deutschlands -Mal Seh’n.","https://www.google.com/maps/place/Mal+Seh'n+cinema+e.V./@50.1238865,8.6833959,17z/data=!3m1!4b1!4m5!3m4!1s0x47bd0eb9d2642fd9:0x926f22821948bfee!8m2!3d50.1238865!4d8.6855846?hl=en-GB",236205029
22,07/11/2014,Kommunales Kino,51,21,kommunales-kino-freiburg,Urachstraße 40,79102,Freiburg im Breisgau,7.851352,47.984806,0761 4598000,https://www.koki-freiburg.de/,"Ein kommunales Kino mit langer Tradition und vielschichtigem Programm","https://www.google.com/maps/place/Kommunales+Kino/@47.9848058,7.8513516,17z/data=!3m1!4b1!4m5!3m4!1s0x47911ca4b4af9c93:0x16bc92c92ca376dd!8m2!3d47.9848058!4d7.8535403?hl=en-GB",232244969
23,08/11/2014,Arsenal,2,80,arsenal-tuebingen,Hintere Grabenstraße 20,72070,Tübingen,9.051739,48.522875,07071 999 75 31,http://www.arsenalkinos.de,"Eins zu null für Wenders…","https://www.google.com/maps/place/Arsenal+Kinobetriebe/@48.5228754,9.0517392,17z/data=!3m1!4b1!4m5!3m4!1s0x4799fad4c7353a7f:0x61c5cef62611dadf!8m2!3d48.5228754!4d9.0539279?hl=en-GB",236205616
24,09/11/2014,Delphin Palast,15,85,delphin-palast-wolfsburg,Porschestraße 39,38440,Wolfsburg,10.786273,52.423217,05361 3070507,http://www.delphin-kino.de,"Ein Palast aus den 50ern. Mit Ralf Christians.","https://www.google.com/maps/place/Delphin-Palast/@52.423217,10.7862733,17z/data=!3m1!4b1!4m5!3m4!1s0x47af924b3db83919:0xaf364c7e0893bd9!8m2!3d52.423217!4d10.788462?hl=en-GB",238182848
